player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
A.J. Green,MIL,OKC,0,7.288544536256496,0.3367491349531708,2.4544110676520345,0.0,2.4544110676520345,0.7032184945931924,0.7032184945931924,0.44444045255022746
Ryan Rollins,MIL,OKC,0,5.675846917748963,0.32893712130904557,1.866996746115163,0.0,1.866996746115163,0.5567989144288662,0.5567989144288662,0.2873783498667468
Théo Maledon,OKC,MIL,1,5.917500951931131,0.3148914178484772,1.8633702648733073,1.222079589216945,0.6412906756563623,0.11910186494950781,0.5557513805437948,0.286401428671071
Isaiah Joe,OKC,MIL,1,5.316077608134887,0.3387298528400853,1.8007141858900029,0.0,1.8007141858900029,0.5373755766929961,0.5373755766929961,0.2695701693353212
Aleksej Pokusevski,OKC,MIL,1,5.248470701592612,0.3244713217249317,1.7029782255803343,1.222523360705473,0.4804548648748612,0.09363544576752691,0.5076788413526718,0.2435631837467599
Gary Trent Jr.,MIL,OKC,0,4.681530156362909,0.32904881520911883,1.5404519513169759,0.0,1.5404519513169759,0.455621200875331,0.455621200875331,0.20137379200542316
Luguentz Dort,OKC,MIL,1,4.518451437255177,0.3367491349531708,1.5215846128235921,0.0,1.5215846128235921,0.4493726939870861,0.4493726939870861,0.19659053500915047
Tre Mann,OKC,MIL,1,4.881108473615279,0.3050665743633669,1.489063041141816,0.7128712871287128,0.7761917540131031,0.18841280543531058,0.43850740353868234,0.18841280543531058
Aaron Wiggins,OKC,MIL,1,4.41419831274391,0.33515457809445454,1.4794387731329381,0.0,1.4794387731329381,0.43526943615127534,0.43526943615127534,0.18600983149644545
Bobby Portis,MIL,OKC,0,4.222993431200805,0.32937621011277984,1.3909535717000854,0.0,1.3909535717000854,0.40504011825874975,0.40504011825874975,0.16432031952827075
Cason Wallace,OKC,MIL,1,4.090386739080757,0.3367491349531708,1.3774341960093661,0.0,1.3774341960093661,0.40035193774154465,0.40035193774154465,0.16107565403863844
Georgios Kalaitzakis,OKC,MIL,1,4.4296937157065654,0.3097343526380106,1.3720283154190367,0.7128712871287128,0.6591570282903239,0.15978374059435185,0.3984724226541416,0.15978374059435185
Darius Miller,OKC,MIL,1,4.307290143740795,0.30875632787072643,1.3299030878551814,1.2394239423942395,0.09047914546094193,0.046137852831337645,0.38373389145358117,0.14982839857835484
Myles Turner,MIL,OKC,0,3.880635566764374,0.3353407614024803,1.3013352856843108,0.0,1.3013352856843108,0.37364988320028747,0.37364988320028747,0.1431951234658715
Alex Caruso,OKC,MIL,1,3.357095777435054,0.32799387203832797,1.1011068428444442,0.0,1.1011068428444442,0.30137598335115556,0.30137598335115556,0.09980672324876061
Pete Nance(TW),MIL,OKC,0,3.2089850138189644,0.3284152006972814,1.0538794573479235,0.0,1.0538794573479235,0.28405292642852675,0.28405292642852675,0.09047410129571465
Kyle Kuzma,MIL,OKC,0,3.1107010139433378,0.33610812057412226,1.0455318714645117,0.0,1.0455318714645117,0.28098569943589347,0.28098569943589347,0.08886425894328498
Jared McCain,OKC,MIL,1,3.085471830997089,0.33515457809445454,1.0341100097401534,0.0,1.0341100097401534,0.27678709673433466,0.27678709673433466,0.08668136231199164
Jaylin Williams,OKC,MIL,1,2.9921372136581055,0.3357946937337327,1.004743799269628,0.0,1.004743799269628,0.26598625735160386,0.26598625735160386,0.08117603656287031
Chet Holmgren,OKC,MIL,1,3.0505338470557786,0.3215814794775002,0.9809951877323876,0.0,0.9809951877323876,0.2572500628298273,0.2572500628298273,0.07683908456760058
Kevin Porter Jr.,MIL,OKC,0,2.9112958776611193,0.32860564893924166,0.9566682711329711,0.0,0.9566682711329711,0.24830536348280452,0.24830536348280452,0.07250612319609395
