player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Anfernee Simons,BOS,MIA,1,8.100076820548527,0.33191708796840275,2.6885539105968252,1.2826735218508998,1.4058803887459255,0.2833859582514715
Norman Powell,MIA,BOS,0,7.178810476453527,0.3281556265814428,2.355767050010033,1.2361111111111112,1.119655938898922,0.21208427792697482
Sam Hauser,BOS,MIA,1,6.845747916098647,0.3281556265814428,2.246470696825958,1.2237224761113419,1.022748220714616,0.18986111689661556
Simone Fontecchio,MIA,BOS,0,6.689712517761011,0.3281556265814428,2.195266802915586,1.2394239423942395,0.9558428605213467,0.1797176513717793
Bam Adebayo,MIA,BOS,0,6.269462781003056,0.3281556265814428,2.057359487229093,1.222079589216945,0.8352798980121481,0.1533724548878711
Payton Pritchard,BOS,MIA,1,5.912109404022467,0.3275865695208778,1.9367276382958412,0.0,1.9367276382958412,0.5765973769275745
Jaylen Brown,BOS,MIA,1,6.032037356271032,0.31739177855000705,1.9145190647869454,1.2575230606381371,0.6569960041488083,0.1277906736723179
Andrew Wiggins,MIA,BOS,0,5.292314632664162,0.31392707409449927,1.661400847819765,1.2578995044492993,0.4035013433704657,0.08750134326999759
Baylor Scheierman,BOS,MIA,1,4.885928395503217,0.31936916738543336,1.5604148835767087,1.2652238408580883,0.2951910427186204,0.07345260289696987
Davion Mitchell,MIA,BOS,0,3.857905484097368,0.3281556265814428,1.2659933914259562,1.240740740740741,0.025252650685215317,0.039777351386446114
Pelle Larsson,MIA,BOS,0,3.8024122888885445,0.3281556265814428,1.2477829871811985,1.2626582278481013,-0.014875240666902823,0.0380626092766837
Dru Smith,MIA,BOS,0,3.7027633040727403,0.32054277126848424,1.1868940108387254,1.2327044025157232,-0.04581039167699785,0.03264327225080743
Jaime Jaquez Jr.,MIA,BOS,0,3.4514919299952593,0.32054277126848424,1.1063507882514896,1.222523360705473,-0.11617257245398349,0.02621334449422419
Kasparas Jakučionis,MIA,BOS,0,3.3508597390195822,0.32445918281798525,1.087217212659981,1.2380952380952381,-0.15087802543525708,0.02480831839038211
Myron Gardner(TW),MIA,BOS,0,2.895500017632127,0.3281556265814428,0.9501746225526494,1.238834487700024,-0.2886598651473745,0.016084088702438715
Neemias Queta,BOS,MIA,1,0.25865114346428897,0.3275865695208778,0.08473064079011883,0.0,0.08473064079011883,0.003393172090734753
