player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Shaedon Sharpe,POR,MEM,1,7.478786238852126,0.3281556265814428,2.4542057842791913,1.2380952380952381,1.2161105461839532,0.2326810949700846
Toumani Camara,POR,MEM,1,7.101229666265818,0.3281556265814428,2.3303084706321893,1.240740740740741,1.0895677298914483,0.20684288255028216
Jaren Jackson Jr.,MEM,POR,0,7.0044656020791445,0.31739177855000705,2.2231597952362456,1.2062281355737798,1.0169316596624658,0.18522066779119428
Caleb Love(TW),POR,MEM,1,6.241875720606525,0.33253757778862947,2.07565823298815,1.2826735218508998,0.7929847111372501,0.15678050108223485
Jrue Holiday,POR,MEM,1,5.596380071512931,0.3281556265814428,1.8364836089552254,1.2394239423942395,0.597059666560986,0.11464088988519083
Jaylen Wells,MEM,POR,0,5.548935533996716,0.3281556265814428,1.8209144170187255,1.2237224761113419,0.5971919409073836,0.11209203278423507
Vince Williams Jr.,MEM,POR,0,5.443356848228266,0.31739177855000705,1.7276767113415301,1.2008506616257089,0.5268260497158213,0.09737308936530076
Ty Jerome,MEM,POR,0,5.224048917825847,0.3281556265814428,1.714301045921249,1.222079589216945,0.49222145670430417,0.09534035385784656
Deni Avdija,POR,MEM,1,5.37121335071622,0.31392707409449927,1.6861692915276543,1.2144377660906587,0.4717315254369956,0.09113150521597058
Jerami Grant,POR,MEM,1,5.0052756515033945,0.3287725450844946,1.6455972147942228,1.2361111111111112,0.40948610368311167,0.08522252310742595
Santi Aldama,MEM,POR,0,4.315618149934063,0.3281556265814428,1.4161943780778594,1.222523360705473,0.19367101737238634,0.0555684864539312
Donovan Clingan,POR,MEM,1,4.25693680780634,0.3281556265814428,1.3969377654832964,1.2626582278481013,0.13427953763519507,0.05338050514076764
Cam Spencer,MEM,POR,0,4.177849343538349,0.32909001973922136,1.3748885229325283,0.0,1.3748885229325283,0.39946720387668866
Sidy Cissoko(TW),POR,MEM,1,4.301730783957547,0.31392707409449927,1.3504297585500293,1.2578995044492993,0.09253025410073001,0.04829368794338673
GG Jackson II,MEM,POR,0,3.799741625274006,0.3281556265814428,1.2469065938893813,1.2327044025157232,0.01420219137365808,0.03798117778542831
Javon Small(TW),MEM,POR,0,3.625928395503217,0.32445918281798525,1.1764657641615022,1.2652238408580883,-0.08875807669658609,0.03176351479958295
Cedric Coward,MEM,POR,0,3.5647287884653562,0.32909001973922136,1.1731166673610347,0.0,1.1731166673610347,0.32763523320307253
Jock Landale,MEM,POR,0,3.525846930078753,0.31739177855000705,1.1190748280327778,1.2195506982392228,-0.100475870206445,0.02717358346191634
Blake Wesley,POR,MEM,1,2.9610369610039653,0.3281556265814428,0.9716809392690675,1.238834487700024,-0.2671535484309564,0.0173007561717059
John Konchar,MEM,POR,0,2.290550202244966,0.31739177855000705,0.7270018025486081,1.215391591630498,-0.4883897890818899,0.0065544221856722595
Robert Williams,POR,MEM,1,1.7142830929907997,0.31739177855000705,0.5440993598225571,1.2575230606381371,-0.71342370081558,0.002372632405503672
