player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Donovan Mitchell,CLE,LAC,0,7.702022170070129,0.3345864374964909,2.5769921594027565,1.2380952380952381,1.3388969213075184,0.25900153759016753
James Harden,LAC,CLE,1,7.599138402529381,0.3250308133378384,2.469954135640927,1.2575230606381371,1.2124310750027898,0.23602089571800522
Sam Merrill,CLE,LAC,0,6.491277804620228,0.3292318448818793,2.137135367255913,1.2394239423942395,0.8977114248616735,0.1684312135442687
De'Andre Hunter,CLE,LAC,0,6.011277804620228,0.3334532914637911,2.004480369853847,1.2826735218508998,0.7218068480029474,0.14368591320644086
Kawhi Leonard,LAC,CLE,1,4.896299053382099,0.36346151075955174,1.7796162510728206,,,
Jaylon Tyson,CLE,LAC,0,5.534246848044237,0.32104269999682133,1.77672955054502,1.222079589216945,0.5546499613280751,0.1049986827043965
John Collins,LAC,CLE,1,5.316746848044236,0.32181478215391834,1.7110077286708878,1.222523360705473,0.4884843679654147,0.09484296612130705
Brook Lopez,LAC,CLE,1,4.427785391423843,0.32405241142153646,1.434834533347948,1.2327044025157232,0.20213013083222475,0.05773179506247439
Evan Mobley,CLE,LAC,0,4.144789452294671,0.32104867459978387,1.3306791601543684,1.2578995044492993,0.07277965570506906,0.04621836340407781
Nicolas Batum,LAC,CLE,1,4.064246848044236,0.3251114971991876,1.3213333777547407,1.2237224761113419,0.0976109016433988,0.04525403765529379
Nae'Qwan Tomlin(TW),CLE,LAC,0,3.453777804620228,0.33127683470747116,1.1441565788975079,1.2626582278481013,-0.11850164895059345,0.029127263342657694
Dean Wade,CLE,LAC,0,3.397450270059834,0.32723844877951497,1.1117763561799243,1.238834487700024,-0.1270581315200996,0.026620259154956916
Jordan Miller(TW),LAC,CLE,1,3.077630903038655,0.3307829069744541,1.0180276967015407,1.2652238408580883,-0.24719614415654756,0.020113478838978516
Jarrett Allen,CLE,LAC,0,1.4962778046202285,0.332417689521401,0.4973892106940106,1.240740740740741,-0.7433515300467304,0.0017188473159304163
Ivica Zubac,LAC,CLE,1,0.19802029931261445,0.36607608511052986,0.07249049594477724,,,
