player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Luka Dončić,LAL,WAS,0,9.256444629959763,0.34782463595599644,3.219619483662593,1.2,2.019619483662593,0.40184512775328707
Tre Johnson,WAS,LAL,1,6.695071848795109,0.34243120886059303,2.2926015465914347,1.11864406779661,1.1739574787948246,0.1991504823524024
Rui Hachimura,LAL,WAS,0,4.93943776678221,0.34111366768765333,1.6849097329419913,1.150943396226415,0.5339663367155763,0.09094518352666225
Khris Middleton,WAS,LAL,1,4.2024526356427865,0.3431244860144671,1.4419644006050738,1.1333333333333333,0.3086310672717405,0.058571022227991154
Marcus Smart,LAL,WAS,0,4.207911673663065,0.34243120886059303,1.4409202811910446,1.142857142857143,0.29806313833390163,0.058447717342238414
Jake LaRavia,LAL,WAS,0,4.146263496018094,0.34111366768765333,1.414347148326164,1.1481481481481481,0.2661990001780159,0.055356531304755374
LeBron James,LAL,WAS,0,3.5459016392996774,0.3431244860144671,1.216685677442558,1.1454545454545455,0.07123113198801256,0.0352344728626347
Bilal Coulibaly,WAS,LAL,1,2.9705680149529985,0.34243120886059303,1.0172151963629674,1.1206896551724137,-0.10347445880944628,0.02006189856011853
Jamir Watkins(TW),WAS,LAL,1,2.9100045237305414,0.3452390839127303,1.004647295954633,1.1228070175438598,-0.11815972158922672,0.01927442287427683
Justin Champagnie,WAS,LAL,1,2.8449526356427874,0.342829772233693,0.9753344640930613,1.180327868852459,-0.20499340475939765,0.017512978095124532
Marvin Bagley III,WAS,LAL,1,1.4414446299597627,0.3476054788020393,0.5010540507637917,1.163265306122449,-0.6622112553586572,0.0017649767295758734
Jaxson Hayes,LAL,WAS,0,0.9812634960180945,0.3462879376290996,0.3397997123068261,1.1730769230769231,-0.833277210770097,0.0004239395908007815
Deandre Ayton,LAL,WAS,0,0.9646105849562341,0.34432902217467487,0.33214341949732124,1.1764705882352942,-0.844327168737973,0.00038935339810231007
