player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Donovan Mitchell,CLE,CHA,0,6.454050933828552,0.3340760149954125,2.1561436165508634,0.0,2.1561436165508634,0.6346109887597733,0.6346109887597733,0.36550454352345496
James Harden,CLE,CHA,0,5.7540177309356615,0.3298345177603782,1.8978736634678295,0.0,1.8978736634678295,0.5656464368515937,0.5656464368515937,0.2957056289572302
Sam Merrill,CLE,CHA,0,5.409101509359889,0.3340760149954125,1.8070510769526227,0.0,1.8070510769526227,0.5392577870829032,0.5392577870829032,0.2712678112474005
Jaylon Tyson,CLE,CHA,0,3.2201636718789253,0.3286972397537031,1.058458910501752,0.0,1.058458910501752,0.2857350516588095,0.2857350516588095,0.09136240563340992
Keon Ellis,CLE,CHA,0,3.0098624335160364,0.333439373572892,1.0036066443721674,0.0,1.0036066443721674,0.26556792510193505,0.26556792510193505,0.080965997123161
Craig Porter Jr.,CLE,CHA,0,1.163986319971188,0.3340760149954125,0.38885991128514963,0.0,0.38885991128514963,0.058590170217369675,0.058590170217369675,0.007342203868867081
Jarrett Allen,CLE,CHA,0,0.1897289063712928,0.333439373572892,0.06326308768911375,0.0,0.06326308768911375,0.0019186804518520617,0.0019186804518520617,4.024635014021616e-05
Andrew Nembhard,IND,WAS,0,5.710634555366368,0.333439373572892,1.9041504088450723,0.0,1.9041504088450723,0.567429309422581,0.567429309422581,0.2974002586782707
Pascal Siakam,IND,WAS,0,4.735966089759929,0.32628616841681435,1.5452802291797298,0.0,1.5452802291797298,0.4572136374181972,0.4572136374181972,0.20260224963260254
Bub Carrington,WAS,IND,1,4.661704583127589,0.3286972397537031,1.5322894290212257,0.0,1.5322894290212257,0.4529229475732208,0.4529229475732208,0.19930103597651228
Jamir Watkins(TW),WAS,IND,1,4.163796813510736,0.3315899872123996,1.380673332147055,0.0,1.380673332147055,0.40147678841815226,0.40147678841815226,0.16185126868327526
Jarace Walker,IND,WAS,0,4.05226301278383,0.33520443255498117,1.3583365237637421,0.0,1.3583365237637421,0.3936997878958095,0.3936997878958095,0.1565259920326777
Will Riley,WAS,IND,1,4.007727078389428,0.33456672111400265,1.3408521077365525,0.0,1.3408521077365525,0.3875800849481079,0.3875800849481079,0.15239645406807056
Kyshawn George,WAS,IND,1,3.8199514936981434,0.3340760149954125,1.2761541724904493,0.0,1.2761541724904493,0.3647056982712926,0.3647056982712926,0.13743179081525048
Aaron Nesmith,IND,WAS,0,3.760872238096917,0.33456672111400265,1.2582626932287662,0.0,1.2582626932287662,0.3583208684799023,0.3583208684799023,0.13338635369440033
Jay Huff,IND,WAS,0,3.757587123265701,0.3340760149954125,1.2553197321386813,0.0,1.2553197321386813,0.35726834916483075,0.35726834916483075,0.132724955258827
Ben Sheppard,IND,WAS,0,3.2886257360290068,0.3340760149954125,1.098650980703926,0.0,1.098650980703926,0.3004767396013627,0.3004767396013627,0.0993121936508109
Justin Champagnie,WAS,IND,1,3.0490509338285516,0.3340760149954125,1.0186147854914838,0.0,1.0186147854914838,0.27108872271819173,0.27108872271819173,0.08375706536675231
Sharife Cooper(TW),WAS,IND,1,2.709017730935661,0.3298345177603782,0.8935275568874778,0.0,0.8935275568874778,0.22515016928292708,0.22515016928292708,0.061795399918092686
Bilal Coulibaly,WAS,IND,1,2.6564863199711874,0.3340760149954125,0.8874683636658026,0.0,0.8874683636658026,0.22293550167864418,0.22293550167864418,0.060809321009335116
Kam Jones,IND,WAS,0,2.560163671878925,0.3286972397537031,0.8415187322643078,0.0,0.8415187322643078,0.20620346452784521,0.20620346452784521,0.05357672098235455
Alex Sarr,WAS,IND,1,2.409862433516036,0.333439373572892,0.803543020228432,0.0,0.803543020228432,0.19248200992823283,0.19248200992823283,0.04793338295262839
