player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Kawhi Leonard,LAC,LAL,0,5.192742759132102,0.3340760149954125,1.7347708078671358,0.0,1.7347708078671358,0.517475303562975
LeBron James,LAL,LAC,1,4.067451493698143,0.3340760149954125,1.3588379862018138,0.0,1.3588379862018138,0.39387489307586154
Austin Reaves,LAL,LAC,1,3.759866187204343,0.3298345177603782,1.2401336507000962,0.0,1.2401336507000962,0.3518273099362659
Marcus Smart,LAL,LAC,1,3.6551636718789253,0.3286972397537031,1.2014422097946127,0.0,1.2014422097946127,0.33789393331632067
Brook Lopez,LAC,LAL,0,3.4692045831275884,0.3286972397537031,1.1403179706149345,0.0,1.1403179706149345,0.31570322112633764
Rui Hachimura,LAL,LAC,1,3.206550933828552,0.3340760149954125,1.0712317578532613,0.0,1.0712317578532613,0.29042442930473367
Jake LaRavia,LAL,LAC,1,2.776486319971187,0.3340760149954125,0.927557485465252,0.0,0.927557485465252,0.23761517844412627
Kobe Sanders(TW),LAC,LAL,0,2.7150871232657012,0.3340760149954125,0.9070454865059638,0.0,0.9070454865059638,0.23009666254166028
Derrick Jones Jr.,LAC,LAL,0,2.6580135328600956,0.33456672111400265,0.8892828723656485,0.0,0.8892828723656485,0.22359854053770856
Luke Kennard,LAL,LAC,1,2.597362433516036,0.333439373572892,0.8660629027733493,0.0,0.8660629027733493,0.21512600574990504
Kris Dunn,LAC,LAL,0,2.4628472451955057,0.333439373572892,0.8212102426437121,0.0,0.8212102426437121,0.1988515306234797
Jordan Miller(TW),LAC,LAL,0,2.2597289063712926,0.333439373572892,0.7534825909850001,0.0,0.7534825909850001,0.17459303931038006
John Collins,LAC,LAL,0,2.230872238096917,0.33456672111400265,0.7463756099243422,0.0,0.7463756099243422,0.17207528254975146
